IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,latitude,longitude,FactValueNumeric,Value,Language
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,EUR,Europe,Country,PRT,Portugal,Year,2019,TRUE,39.3999,-8.2245,0.42,0.4,EN
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,EUR,Europe,Country,ROU,Romania,Year,2019,TRUE,45.9432,24.9668,0.46,0.5,EN
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,EUR,Europe,Country,RUS,Russian Federation,Year,2019,TRUE,61.524,105.3188,0.34,0.3,EN
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,EUR,Europe,Country,SRB,Serbia,Year,2019,TRUE,44.0165,21.0059,0.24,0.2,EN
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,EUR,Europe,Country,SWE,Sweden,Year,2019,TRUE,60.1282,18.6435,0.16,0.2,EN
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2019,TRUE,23.685,90.3563,2.75,2.8,EN
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,SEAR,South-East Asia,Country,IDN,Indonesia,Year,2019,TRUE,-0.7893,113.9213,0.51,0.5,EN
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,SEAR,South-East Asia,Country,MMR,Myanmar,Year,2019,TRUE,21.9162,95.956,0.77,0.8,EN
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,SEAR,South-East Asia,Country,NPL,Nepal,Year,2019,TRUE,28.3949,84.124,1.80,1.8,EN
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,SEAR,South-East Asia,Country,THA,Thailand,Year,2019,TRUE,15.87,100.9925,0.59,0.6,EN
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,WPR,Western Pacific,Country,AUS,Australia,Year,2019,TRUE,-25.2744,133.7751,0.12,0.1,EN
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,WPR,Western Pacific,Country,CHN,China,Year,2019,TRUE,35.8617,104.1954,0.40,0.4,EN
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,WPR,Western Pacific,Country,FJI,Fiji,Year,2019,TRUE,-17.7134,178.065,0.34,0.3,EN
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,WPR,Western Pacific,Country,JPN,Japan,Year,2019,TRUE,36.2048,138.2529,0.06,0.1,EN
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,WPR,Western Pacific,Country,KHM,Cambodia,Year,2019,TRUE,12.5657,104.991,0.83,0.8,EN
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,WPR,Western Pacific,Country,LAO,Lao People's Democratic Republic,Year,2019,TRUE,19.8563,102.4955,1.49,1.5,EN
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,WPR,Western Pacific,Country,MYS,Malaysia,Year,2019,TRUE,4.2105,101.9758,0.50,0.5,EN
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,WPR,Western Pacific,Country,NZL,New Zealand,Year,2019,TRUE,-40.9006,174.886,0.03,0.0,EN
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,WPR,Western Pacific,Country,PHL,Philippines,Year,2019,TRUE,12.8797,121.774,1.18,1.2,EN
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,WPR,Western Pacific,Country,SGP,Singapore,Year,2019,TRUE,1.3521,103.8198,0.12,0.1,EN
ORALHEALTH_FLUORIDETOOTHPHASTE_LABOURDAYS,Number of labour days needed to buy annual supply of fluoride toothpaste per person,numeric,WPR,Western Pacific,Country,SLB,Solomon Islands,Year,2019,TRUE,-9.6457,160.1562,0.93,0.9,EN
